"Title: ","Concierto en Bilbao — Rosendo Mercado"
"URL: ","http://localhost:8000/Desktop/LIMA/RosendoV3/gira/bilbao/index.html"
"Ruleset: ","WCAG 2.2, Levels A, AA and enhanced CCR"
"Scope: ","All Rules"
"View: ","rules-all"
"Date:","9/2/2026"
"Time:","2:26:11"
"AInspector Version:","4.1.3"


"Rule Summary: All Rules"
"Violations","0"
"Warnings","1"
"Manual Checks","45"
"Passed","34"


"Rule Category","Violations","Warnings","Manual Checks","Passed"
"Landmarks","0","0","1","13",
"Headings","0","0","0","5",
"Color/Content","0","1","8","3",
"Images","0","0","3","3",
"Links","0","0","3","2",
"Tables/Layout","0","0","4","5",
"Forms","0","0","1","0",
"ARIA Widgets","0","0","6","2",
"Audio/Video","0","0","1","0",
"Keyboard Support","0","0","7","0",
"Timing/Live Regions","0","0","4","0",
"Site Navigation","0","0","7","1",
"All Rules","0","1","45","34",


"WCAG Guideline","Violations","Warnings","Manual Checks","Passed"
"Guideline 1.1 Text Alternatives","0","0","3","3",
"Guideline 1.2 Time-based Media","0","0","0","0",
"Guideline 1.3 Adaptable","0","0","5","13",
"Guideline 1.4 Distinguishable","0","1","8","1",
"Guideline 2.1 Keyboard Accessible","0","0","1","0",
"Guideline 2.2 Enough Time","0","0","2","0",
"Guideline 2.3 Seizures and Physical Reactions","0","0","1","0",
"Guideline 2.4 Navigable","0","0","10","12",
"Guideline 2.5 Input Modalities","0","0","5","2",
"Guideline 3.1 Readable","0","0","1","1",
"Guideline 3.2 Predictable","0","0","6","0",
"Guideline 3.3 Input Assistance","0","0","1","0",
"Guideline 4.1 Compatible","0","0","2","2",
"All Rules","0","1","45","34",


"Rule Results: All Rules"
"Rule ID","Rule Summary","Result","Result Value","Rule Scope","Category","Guideline","Success Criteria","Level","Required","Violations","Warnings","Manual Checks","Passed","Hidden"
"Audio 1","Audio-only  (Prerecorded)","N/A","1","Element","Audio/Video","Guideline 1.2 Time-based Media","1.2.1","A","Yes","0","0","0","0","0"
"Audio 2","Audio Control","MC","3","Page","Audio/Video","Guideline 1.4 Distinguishable","1.4.2","A","Yes","0","0","1","0","0"
"Authorization 1","Accessible Authorization (Minimum) ","N/A","1","Page","Forms","Guideline 3.3 Input Assistance","3.3.8","AA","Yes","0","0","0","0","0"
"Bypass 1","Skip to main content link","MC","3","Page","Keyboard Support","Guideline 2.4 Navigable","2.4.1","A","Yes","0","0","1","0","0"
"Color 1","Color contrast of text: Minimum","P","2","Element","Color/Content","Guideline 1.4 Distinguishable","1.4.3","AA","Yes","0","0","0","52","0"
"Color 2","Use of color","MC","3","Page","Color/Content","Guideline 1.4 Distinguishable","1.4.1","A","Yes","0","0","1","0","0"
"Color 3","Color contrast of text: Enhanced","W","4","Element","Color/Content","Guideline 1.4 Distinguishable","1.4.6","AAA","","0","5","0","47","0"
"Color 4","Color contrast of user interface controls","MC","3","Element","Color/Content","Guideline 1.4 Distinguishable","1.4.11","AA","Yes","0","0","1","0","0"
"Color 5","Color contrast of graphics","MC","3","Element","Color/Content","Guideline 1.4 Distinguishable","1.4.11","AA","Yes","0","0","11","0","0"
"Error 1","Using ARIA-INVALID to identify the validity of control values.","N/A","1","Element","Forms","Guideline 3.3 Input Assistance","3.3.1","A","Yes","0","0","0","0","0"
"Error 2","Using ARIA-REQUIRED to identify required form controls and widgets","N/A","1","Element","Forms","Guideline 3.3 Input Assistance","3.3.3","AA","Yes","0","0","0","0","0"
"Error 3","Error correction suggestions","N/A","1","Element","Forms","Guideline 3.3 Input Assistance","3.3.3","AA","Yes","0","0","0","0","0"
"Error 4","Prevent errors","MC","3","Page","Forms","Guideline 3.3 Input Assistance","3.3.4","AA","Yes","0","0","2","0","0"
"Frame 1","FRAME must have accessible name","N/A","1","Element","Color/Content","Guideline 2.4 Navigable","2.4.1","A","Yes","0","0","0","0","0"
"Frame 2","IFRAME must have accessible name","P","2","Element","Color/Content","Guideline 2.4 Navigable","2.4.1","A","Yes","0","0","0","1","0"
"Control 1","Form controls must have labels","N/A","1","Element","Forms","Guideline 3.3 Input Assistance","3.3.2","A","Yes","0","0","0","0","0"
"Control 2","Image button must have alt. content","N/A","1","Element","Forms","Guideline 3.3 Input Assistance","3.3.2","A","Yes","0","0","0","0","0"
"Control 3","Radio buttons must have grouping label","N/A","1","Element","Forms","Guideline 3.3 Input Assistance","3.3.2","A","Yes","0","0","0","0","0"
"Control 4","BUTTONs should have text content","N/A","1","Element","Forms","Guideline 3.3 Input Assistance","3.3.2","A","","0","0","0","0","0"
"Control 5","ID must be unique","N/A","1","Element","Forms","Guideline 4.1 Compatible","4.1.1","A","Yes","0","0","0","0","0"
"Control 6","LABEL must reference control","N/A","1","Element","Forms","Guideline 3.3 Input Assistance","3.3.2","A","Yes","0","0","0","0","0"
"Control 7","LABEL must have content","N/A","1","Element","Forms","Guideline 3.3 Input Assistance","3.3.2","A","Yes","0","0","0","0","0"
"Control 8","FIELDSET must have one LEGEND","N/A","1","Element","Forms","Guideline 3.3 Input Assistance","3.3.2","A","Yes","0","0","0","0","0"
"Control 9","Verify TITLE is the label.","N/A","1","Element","Forms","Guideline 3.3 Input Assistance","3.3.2","A","Yes","0","0","0","0","0"
"Control 10","Accessible name must be unique","N/A","1","Element","Forms","Guideline 2.4 Navigable","2.4.6","AA","Yes","0","0","0","0","0"
"Control 11","Submit and reset button labels must be unique","N/A","1","Element","Forms","Guideline 2.4 Navigable","2.4.6","AA","Yes","0","0","0","0","0"
"Control 12","Forms submitted using buttons","N/A","1","Element","Forms","Guideline 3.2 Predictable","3.2.2","A","Yes","0","0","0","0","0"
"Control 13","NAME attribute supports auto fill","N/A","1","Element","Forms","Guideline 1.3 Adaptable","1.3.5","AA","Yes","0","0","0","0","0"
"Control 14","Use native HTML attributes when available","N/A","1","Element","Forms","Guideline 4.1 Compatible","4.1.2","A","Yes","0","0","0","0","0"
"Control 15","Label in name for controls","N/A","1","Element","Forms","Guideline 2.5 Input Modalities","2.5.3","A","Yes","0","0","0","0","0"
"Control 16","Redundant Entry","N/A","1","Element","Forms","Guideline 3.3 Input Assistance","3.3.7","A","Yes","0","0","0","0","0"
"Control 17","Avoid label encapsulation","N/A","1","Element","Forms","Guideline 3.3 Input Assistance","3.3.2","A","Yes","0","0","0","0","0"
"Heading 1","Page should have H1 element","P","2","Page","Headings","Guideline 2.4 Navigable","2.4.1","A","","0","0","0","2","0"
"Heading 2","H1 should be in MAIN or BANNER landmark","P","2","Element","Headings","Guideline 2.4 Navigable","2.4.6","AA","","0","0","0","1","0"
"Heading 3","Sibling headings should be unique","P","2","Element","Headings","Guideline 2.4 Navigable","2.4.6","AA","","0","0","0","6","0"
"Heading 5","Headings must be properly nested","P","2","Page","Headings","Guideline 1.3 Adaptable","1.3.1","A","","0","0","0","7","0"
"Heading 6","Headings should have text content","P","2","Element","Headings","Guideline 1.3 Adaptable","1.3.1","A","","0","0","0","6","0"
